choice_rank,mixed_rank,partition_id,nll,delta_nll_vs_native_h16,merged_boundaries,routing_groups,segment_widths
365,364,0__1-2__3-4__5__6__7__8-9__10__11__12__13-14__15,5.202137689786223,0.836219091685753,"[1, 3, 8, 13]",12,"[80, 160, 160, 80, 80, 80, 160, 80, 80, 80, 160, 80]"
366,365,0__1__2-3__4-5__6__7__8-9__10__11__12-13__14__15,5.202465127756636,0.8365465296561654,"[2, 4, 8, 12]",12,"[80, 80, 160, 160, 80, 80, 160, 80, 80, 160, 80, 80]"
367,366,0__1-2__3__4__5__6__7__8__9__10-11__12-13__14-15,5.203120653929948,0.8372020558294775,"[1, 10, 12, 14]",12,"[80, 160, 80, 80, 80, 80, 80, 80, 80, 160, 160, 160]"
368,367,0__1-2__3__4__5__6__7__8-9__10__11-12__13-14__15,5.203169538361819,0.8372509402613488,"[1, 8, 11, 13]",12,"[80, 160, 80, 80, 80, 80, 80, 160, 80, 160, 160, 80]"
369,368,0-1__2__3__4__5-6__7-8__9__10-11__12__13__14__15,5.20386878486253,0.8379501867620593,"[0, 5, 7, 10]",12,"[160, 80, 80, 80, 160, 160, 80, 160, 80, 80, 80, 80]"
370,369,0__1-2__3__4__5-6__7__8-9__10-11__12__13__14__15,5.203943466977057,0.8380248688765866,"[1, 5, 8, 10]",12,"[80, 160, 80, 80, 160, 80, 160, 160, 80, 80, 80, 80]"
371,370,0-1__2-3__4__5__6__7__8__9-10__11-12__13__14__15,5.2041809533232,0.8382623552227297,"[0, 2, 9, 11]",12,"[160, 160, 80, 80, 80, 80, 80, 160, 160, 80, 80, 80]"
372,371,0-1__2__3__4-5__6__7__8__9-10__11__12__13-14__15,5.204931213009742,0.8390126149092714,"[0, 4, 9, 13]",12,"[160, 80, 80, 160, 80, 80, 80, 160, 80, 80, 160, 80]"
373,372,0__1-2__3__4__5__6__7__8-9__10-11__12__13__14-15,5.206024042672076,0.8401054445716056,"[1, 8, 10, 14]",12,"[80, 160, 80, 80, 80, 80, 80, 160, 160, 80, 80, 160]"
374,373,0-1__2-3__4__5__6__7-8__9__10__11__12__13-14__15,5.2062283732208225,0.8403097751203523,"[0, 2, 7, 13]",12,"[160, 160, 80, 80, 80, 160, 80, 80, 80, 80, 160, 80]"
375,374,0__1-2__3__4__5-6__7-8__9__10-11__12__13__14__15,5.2066806269297965,0.8407620288293263,"[1, 5, 7, 10]",12,"[80, 160, 80, 80, 160, 160, 80, 160, 80, 80, 80, 80]"
376,375,0__1__2__3__4-5__6__7__8__9__10-11__12-13__14-15,5.207135080708553,0.8412164826080826,"[4, 10, 12, 14]",12,"[80, 80, 80, 80, 160, 80, 80, 80, 80, 160, 160, 160]"
